Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2015,Assault,20/01/2015,01,20,11:00:00,11
Jayanagar,2015,Assault,22/01/2015,01,22,12:00:00,12
Jayanagar,2015,Assault,02/03/2015,03,02,01:00:00,01
Jayanagar,2015,Assault,22/03/2015,03,22,10:30:00,10
Jayanagar,2015,Assault,30/03/2015,03,30,,
Jayanagar,2015,Assault,31/03/2015,03,31,12:00:00,12
Jayanagar,2015,Assault,13/04/2015,04,13,04:00:00,04
Jayanagar,2015,Assault,22/04/2015,04,22,05:00:00,05
Jayanagar,2015,Assault,31/05/2015,05,31,06:00:00,06
Jayanagar,2015,Assault,27/06/2015,06,27,07:00:00,07
Jayanagar,2015,Assault,22/07/2015,07,22,11:00:00,11
Jayanagar,2015,Assault,18/08/2015,08,18,11:30:00,11
Jayanagar,2015,Assault,21/08/2015,08,21,11:40:00,11
Jayanagar,2015,Assault,09/10/2015,10,09,12:10:00,12
Jayanagar,2015,Assault,10/10/2015,10,10,,
Jayanagar,2015,Assault,14/09/2015,09,14,09:00:00,09
Jayanagar,2015,Assault,31/10/2015,10,31,09:30:00,09
Jayanagar,2015,Assault,23/12/2015,12,23,10:00:00,10
Jayanagar,2016,Assault,22/02/2016,02,22,12:00:00,12
Jayanagar,2016,Assault,22/02/2016,02,22,09:30:00,09
Jayanagar,2016,Assault,03/09/2016,09,03,09:15:00,09
Jayanagar,2016,Assault,19/03/2016,03,19,11:15:00,11
Jayanagar,2016,Assault,21/03/2016,03,21,11:35:00,11
Jayanagar,2016,Assault,04/08/2016,08,04,12:00:00,12
Jayanagar,2016,Assault,05/02/2016,02,05,09:30:00,09
Jayanagar,2016,Assault,06/09/2016,09,06,05:30:00,05
Jayanagar,2016,Assault,06/09/2016,09,06,04:00:00,04
Jayanagar,2016,Assault,07/03/2016,03,07,08:00:00,08
Jayanagar,2016,Assault,08/05/2016,05,08,09:00:00,09
Jayanagar,2016,Assault,13/10/2016,10,13,09:30:00,09
Jayanagar,2016,Assault,12/12/2016,12,12,04:15:00,04
Jayanagar,2016,Assault,12/12/2016,12,12,05:30:00,05
Jayanagar,2016,Assault,12/12/2016,12,12,04:00:00,04
Jayanagar,2016,Assault,18/12/2016,12,18,05:00:00,05
Jayanagar,2016,Assault,22/12/2016,12,22,05:30:00,05
Jayanagar,2017,Assault,21/01/2017,01,21,11:00:00,11
Jayanagar,2017,Assault,29/01/2017,01,29,11:30:00,11
Jayanagar,2017,Assault,04/06/2017,06,04,12:00:00,12
Jayanagar,2017,Assault,25/04/2017,04,25,12:30:00,12
Jayanagar,2017,Assault,27/06/2017,06,27,11:15:00,11
Jayanagar,2017,Assault,07/10/2017,10,07,12:00:00,12
Jayanagar,2017,Assault,29/08/2017,08,29,12:30:00,12
Jayanagar,2017,Assault,29/08/2017,08,29,01:00:00,01
Jayanagar,2017,Assault,09/02/2017,02,09,05:00:00,05
Jayanagar,2017,Assault,09/07/2017,07,09,04:30:00,04
Jayanagar,2017,Assault,13/09/2017,09,13,09:15:00,09
Jayanagar,2017,Assault,29/09/2017,09,29,10:20:00,10
Jayanagar,2017,Assault,10/02/2017,02,10,11:30:00,11
Jayanagar,2017,Assault,28/10/2017,10,28,11:45:00,11
Jayanagar,2017,Assault,11/01/2017,01,11,12:00:00,12
Jayanagar,2017,Assault,11/08/2017,08,11,01:00:00,01
Jayanagar,2017,Assault,16/11/2017,11,16,,
Jayanagar,2017,Assault,22/11/2017,11,22,,
Jayanagar,2017,Assault,26/11/2017,11,26,,
Jayanagar,2017,Assault,28/11/2017,11,28,08:45:00,08
Jayanagar,2017,Assault,29/11/2017,11,29,09:45:00,09
Jayanagar,2017,Assault,12/07/2017,07,12,01:50:00,01
Jayanagar,2017,Assault,23/12/2017,12,23,02:00:00,02
Jayanagar,2017,Assault,25/12/2017,12,25,10:20:00,10
Jayanagar,2017,Assault,31/12/2017,12,31,11:00:00,11
Jayanagar,2018,Assault,16/01/2018,01,16,11:30:00,11
