Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2015,Robbery,01/09/2015,09,01,15:15:00,15
Jayanagar,2015,Robbery,18/02/2015,02,18,13:00:00,13
Jayanagar,2015,Robbery,25/02/2015,02,25,13:30:00,13
Jayanagar,2015,Robbery,14/05/2015,05,14,00:05:00,00
Jayanagar,2015,Robbery,07/05/2015,05,07,03:40:00,03
Jayanagar,2015,Robbery,11/02/2015,02,11,09:45:00,09
Jayanagar,2016,Robbery,02/07/2016,07,02,20:45:00,20
Jayanagar,2016,Robbery,29/02/2016,02,29,11:00:00,11
Jayanagar,2016,Robbery,04/07/2016,07,04,20:15:00,20
Jayanagar,2016,Robbery,09/09/2016,09,09,20:15:00,20
Jayanagar,2016,Robbery,19/09/2016,09,19,23:30:00,23
Jayanagar,2016,Robbery,10/09/2016,09,10,22:00:00,22
Jayanagar,2016,Robbery,26/10/2016,10,26,21:00:00,21
Jayanagar,2016,Robbery,26/10/2016,10,26,16:30:00,16
Jayanagar,2016,Robbery,22/11/2016,11,22,09:15:00,09
Jayanagar,2016,Robbery,29/11/2016,11,29,21:35:00,21
Jayanagar,2016,Robbery,12/02/2016,02,12,00:30:00,00
Jayanagar,2016,Robbery,12/09/2016,09,12,20:00:00,20
Jayanagar,2016,Robbery,18/12/2016,12,18,14:00:00,14
Jayanagar,2016,Robbery,26/12/2016,12,26,10:30:00,10
Jayanagar,2016,Robbery,27/03/2017,03,27,12:30:00,12
Jayanagar,2016,Robbery,21/04/2017,04,21,10:40:00,10
Jayanagar,2016,Robbery,21/04/2017,04,21,16:30:00,16
Jayanagar,2016,Robbery,25/07/2017,07,25,09:00:00,09
Jayanagar,2016,Robbery,28/07/2017,07,28,23:30:00,23
Jayanagar,2016,Robbery,28/08/2017,08,28,14:30:00,14
Jayanagar,2016,Robbery,09/12/2017,12,09,12:10:00,12
Jayanagar,2017,Robbery,20/09/2017,09,20,11:30:00,11
Jayanagar,2017,Robbery,30/10/2017,10,30,22:30:00,22
Jayanagar,2017,Robbery,11/08/2017,08,11,13:15:00,13
Jayanagar,2017,Robbery,14/11/2017,11,14,20:45:00,20
Jayanagar,2017,Robbery,14/11/2017,11,14,21:15:00,21
Jayanagar,2017,Robbery,16/11/2017,11,16,10:00:00,10
Jayanagar,2017,Robbery,17/11/2017,11,17,03:15:00,03
Jayanagar,2017,Robbery,12/01/2017,01,12,20:45:00,20
Jayanagar,2018,Robbery,20/02/2018,02,20,23:10:00,23
Jayanagar,2018,Robbery,03/02/2018,02,03,19:50:00,19
Jayanagar,2018,Robbery,04/06/2018,06,04,20:00:00,20
Jayanagar,2018,Robbery,04/07/2018,07,04,00:10:00,00
Jayanagar,2018,Robbery,14/04/2018,04,14,01:15:00,01
Jayanagar,2018,Robbery,16/04/2018,04,16,09:30:00,09
Jayanagar,2018,Robbery,23/04/2018,04,23,00:15:00,00
Jayanagar,2018,Robbery,26/04/2018,04,26,22:30:00,22
Jayanagar,2018,Robbery,06/08/2018,08,06,22:00:00,22
Jayanagar,2018,Robbery,27/06/2018,06,27,00:30:00,00
Jayanagar,2018,Robbery,08/03/2018,03,08,12:00:00,12
Jayanagar,2018,Robbery,19/08/2018,08,19,14:15:00,14
Jayanagar,2018,Robbery,24/10/2018,10,24,02:00:00,02
Jayanagar,2018,Robbery,11/11/2018,11,11,16:30:00,16
Jayanagar,2018,Robbery,12/06/2018,06,12,14:00:00,14
Jayanagar,2018,Robbery,12/07/2018,07,12,20:10:00,20
Jayanagar,2019,Robbery,01/09/2019,09,01,11:45:00,11
Jayanagar,2019,Robbery,01/10/2019,10,01,13:45:00,13
Jayanagar,2019,Robbery,22/02/2019,02,22,14:15:00,14
Jayanagar,2019,Robbery,06/10/2019,10,06,12:30:00,12
Jayanagar,2019,Robbery,15/06/2019,06,15,12:10:00,12
Jayanagar,2019,Robbery,22/06/2019,06,22,20:45:00,20
Jayanagar,2019,Robbery,24/06/2019,06,24,20:45:00,20
Jayanagar,2019,Robbery,08/10/2019,10,08,22:30:00,22
Jayanagar,2019,Robbery,09/09/2019,09,09,14:45:00,14
Jayanagar,2019,Robbery,10/04/2019,04,10,14:00:00,14
Jayanagar,2019,Robbery,10/10/2019,10,10,00:45:00,00
Jayanagar,2019,Robbery,30/12/2019,12,30,13:00:00,13
Basavanagudi,2015,Robbery,06/12/2015,12,06,,
Basavanagudi,2015,Robbery,21/09/2015,09,21,,
Basavanagudi,2016,Robbery,18/06/2016,06,18,,
Basavanagudi,2016,Robbery,21/10/2016,10,21,,
Basavanagudi,2016,Robbery,21/10/2016,10,21,,
Basavanagudi,2016,Robbery,01/12/2016,12,01,,
Basavanagudi,2016,Robbery,22/12/2016,12,22,,
Basavanagudi,2017,Robbery,04/01/2017,01,04,,
Basavanagudi,2017,Robbery,21/02/2017,02,21,,
Basavanagudi,2017,Robbery,19/03/2017,03,19,,
Basavanagudi,2017,Robbery,10/06/2017,06,10,,
Basavanagudi,2017,Robbery,15/07/2017,07,15,,
Basavanagudi,2017,Robbery,26/07/2017,07,26,,
Basavanagudi,2017,Robbery,07/08/2017,08,07,,
Basavanagudi,2017,Robbery,16/10/2017,10,16,,
Basavanagudi,2017,Robbery,18/10/2017,10,18,,
Basavanagudi,2017,Robbery,22/10/2017,10,22,,
Basavanagudi,2018,Robbery,27/01/2018,01,27,,
Basavanagudi,2018,Robbery,22/03/2018,03,22,,
Basavanagudi,2018,Robbery,23/03/2018,03,23,,
Basavanagudi,2018,Robbery,02/05/2018,05,02,,
Basavanagudi,2018,Robbery,07/05/2018,05,07,,
Basavanagudi,2018,Robbery,07/06/2018,06,07,,
Basavanagudi,2018,Robbery,09/07/2018,07,09,,
Basavanagudi,2018,Robbery,09/04/2018,04,09,,
Basavanagudi,2018,Robbery,10/10/2018,10,10,,
Basavanagudi,2018,Robbery,24/10/2018,10,24,,
Basavanagudi,2018,Robbery,24/10/2018,10,24,,
Basavanagudi,2018,Robbery,21/12/2018,12,21,,
Basavanagudi,2019,Robbery,08/09/2019,09,08,,
Basavanagudi,2019,Robbery,13/08/2019,08,13,,
J P Nagar,2015,Robbery,20/03/2015,03,20,22:30:00,22
J P Nagar,2015,Robbery,22/06/2015,06,22,15:20:00,15
J P Nagar,2015,Robbery,07/06/2015,06,07,16:20:00,16
J P Nagar,2015,Robbery,07/07/2015,07,07,09:10:00,09
J P Nagar,2015,Robbery,07/10/2015,10,07,16:30:00,16
J P Nagar,2015,Robbery,08/11/2015,11,08,02:30:00,02
J P Nagar,2015,Robbery,14/08/2015,08,14,20:00:00,20
J P Nagar,2015,Robbery,29/09/2015,09,29,16:00:00,16
J P Nagar,2016,Robbery,01/02/2016,02,01,09:15:00,09
J P Nagar,2016,Robbery,27/02/2016,02,27,11:30:00,11
J P Nagar,2016,Robbery,31/03/2016,03,31,15:00:00,15
J P Nagar,2016,Robbery,04/11/2016,11,04,02:15:00,02
J P Nagar,2016,Robbery,05/02/2016,02,05,22:35:00,22
J P Nagar,2016,Robbery,05/08/2016,08,05,03:30:00,03
J P Nagar,2016,Robbery,06/02/2016,02,06,17:35:00,17
J P Nagar,2016,Robbery,06/09/2016,09,06,19:30:00,19
J P Nagar,2016,Robbery,23/06/2016,06,23,12:45:00,12
J P Nagar,2016,Robbery,15/07/2016,07,15,19:30:00,19
J P Nagar,2016,Robbery,18/07/2016,07,18,16:35:00,16
J P Nagar,2016,Robbery,30/07/2016,07,30,06:15:00,06
J P Nagar,2016,Robbery,24/08/2016,08,24,12:30:00,12
J P Nagar,2016,Robbery,09/01/2016,01,09,15:00:00,15
J P Nagar,2016,Robbery,09/01/2016,01,09,12:30:00,12
J P Nagar,2016,Robbery,09/10/2016,10,09,02:05:00,02
J P Nagar,2016,Robbery,13/10/2016,10,13,14:30:00,14
J P Nagar,2016,Robbery,18/10/2016,10,18,07:45:00,07
J P Nagar,2016,Robbery,19/10/2016,10,19,21:00:00,21
J P Nagar,2016,Robbery,19/10/2016,10,19,21:00:00,21
J P Nagar,2016,Robbery,20/10/2016,10,20,03:10:00,03
J P Nagar,2016,Robbery,22/12/2016,12,22,00:30:00,00
J P Nagar,2017,Robbery,02/10/2017,10,02,11:40:00,11
J P Nagar,2017,Robbery,28/03/2017,03,28,13:32:00,13
J P Nagar,2017,Robbery,06/05/2017,05,06,13:00:00,13
J P Nagar,2017,Robbery,30/07/2017,07,30,17:00:00,17
J P Nagar,2017,Robbery,09/04/2017,04,09,09:30:00,09
J P Nagar,2017,Robbery,20/09/2017,09,20,14:00:00,14
J P Nagar,2017,Robbery,10/02/2017,02,10,10:30:00,10
J P Nagar,2018,Robbery,21/01/2018,01,21,09:00:00,09
J P Nagar,2018,Robbery,28/01/2018,01,28,17:10:00,17
J P Nagar,2018,Robbery,29/01/2018,01,29,22:00:00,22
J P Nagar,2018,Robbery,24/02/2018,02,24,09:30:00,09
J P Nagar,2018,Robbery,03/07/2018,07,03,12:00:00,12
J P Nagar,2018,Robbery,24/03/2018,03,24,16:00:00,16
J P Nagar,2018,Robbery,05/11/2018,11,05,22:00:00,22
J P Nagar,2018,Robbery,07/12/2018,12,07,21:10:00,21
J P Nagar,2018,Robbery,29/07/2018,07,29,05:30:00,05
J P Nagar,2018,Robbery,08/09/2018,09,08,16:00:00,16
J P Nagar,2019,Robbery,02/01/2019,01,02,22:55:00,22
J P Nagar,2019,Robbery,03/12/2019,12,03,16:30:00,16
J P Nagar,2019,Robbery,04/06/2019,06,04,04:15:00,04
J P Nagar,2019,Robbery,17/05/2019,05,17,15:30:00,15
J P Nagar,2019,Robbery,13/06/2019,06,13,19:00:00,19
J P Nagar,2019,Robbery,14/11/2019,11,14,18:30:00,18
Banashankari,2015,Robbery,21/04/2015,04,21,23:45:00,23
Banashankari,2015,Robbery,05/09/2015,09,05,17:45:00,17
Banashankari,2015,Robbery,13/09/2015,09,13,19:30:00,19
Banashankari,2016,Robbery,04/01/2016,01,04,20:15:00,20
Banashankari,2016,Robbery,31/07/2016,07,31,22:30:00,22
Banashankari,2016,Robbery,27/09/2016,09,27,13:00:00,13
Banashankari,2016,Robbery,17/10/2016,10,17,02:00:00,02
Banashankari,2016,Robbery,24/12/2016,12,24,19:00:00,19
Banashankari,2016,Robbery,27/12/2016,12,27,17:00:00,17
Banashankari,2017,Robbery,18/09/2017,09,18,11:30:00,11
Banashankari,2017,Robbery,17/10/2017,10,17,07:10:00,07
Banashankari,2018,Robbery,04/12/2018,12,04,13:40:00,13
Banashankari,2018,Robbery,27/06/2018,06,27,12:00:00,12
Banashankari,2018,Robbery,10/09/2016,09,10,20:00:00,20
Banashankari,2018,Robbery,25/10/2018,10,25,11:30:00,11
Banashankari,2019,Robbery,06/06/2019,06,06,12:30:00,12
Banashankari,2019,Robbery,09/12/2019,12,09,20:45:00,20
Siddapura,2015,Robbery,10/09/2015,09,10,00:35:00,00
Siddapura,2016,Robbery,17/07/2016,07,17,13:00:00,13
Siddapura,2016,Robbery,15/09/2016,09,15,10:00:00,10
Siddapura,2016,Robbery,28/09/2016,09,28,09:00:00,09
Siddapura,2017,Robbery,01/09/2017,09,01,05:30:00,05
Siddapura,2017,Robbery,02/01/2017,01,02,20:15:00,20
Siddapura,2017,Robbery,23/02/2017,02,23,01:00:00,01
Siddapura,2017,Robbery,27/05/2017,05,27,14:45:00,14
Siddapura,2017,Robbery,28/08/2017,08,28,11:00:00,11
Siddapura,2018,Robbery,01/06/2018,06,01,20:00:00,20
Siddapura,2018,Robbery,01/09/2018,09,01,21:00:00,21
Siddapura,2018,Robbery,17/01/2018,01,17,20:00:00,20
Siddapura,2018,Robbery,27/01/2018,01,27,16:00:00,16
Siddapura,2018,Robbery,20/03/2018,03,20,11:00:00,11
Siddapura,2018,Robbery,22/03/2018,03,22,16:00:00,16
Siddapura,2018,Robbery,28/03/2018,03,28,23:00:00,23
Siddapura,2018,Robbery,28/03/2018,03,28,11:00:00,11
Siddapura,2018,Robbery,28/03/2018,03,28,21:00:00,21
Siddapura,2018,Robbery,27/04/2018,04,27,21:00:00,21
Siddapura,2018,Robbery,07/04/2018,04,07,22:00:00,22
Siddapura,2019,Robbery,02/08/2019,08,02,09:00:00,09
Siddapura,2019,Robbery,22/02/2019,02,22,12:10:00,12
Siddapura,2019,Robbery,13/03/2019,03,13,12:30:00,12
Siddapura,2019,Robbery,25/03/2019,03,25,20:35:00,20
Siddapura,2019,Robbery,04/07/2019,07,04,12:00:00,12
Siddapura,2019,Robbery,18/05/2019,05,18,11:00:00,11
Siddapura,2019,Robbery,27/06/2019,06,27,01:00:00,01
Siddapura,2019,Robbery,07/10/2019,10,07,15:00:00,15
Siddapura,2019,Robbery,18/12/2019,12,18,16:30:00,16
Subramanyapura,2015,Robbery,25/05/2015,05,25,00:20:00,00
Subramanyapura,2015,Robbery,23/07/2015,07,23,23:00:00,23
Subramanyapura,2015,Robbery,23/07/2015,07,23,21:00:00,21
Subramanyapura,2015,Robbery,13/09/2015,09,13,21:00:00,21
Subramanyapura,2015,Robbery,29/10/2015,10,29,12:50:00,12
Subramanyapura,2016,Robbery,20/04/2016,04,20,10:30:00,10
Subramanyapura,2016,Robbery,29/04/2016,04,29,10:40:00,10
Subramanyapura,2016,Robbery,06/09/2016,09,06,19:45:00,19
Subramanyapura,2016,Robbery,15/12/2016,12,15,22:15:00,22
Subramanyapura,2016,Robbery,15/12/2016,12,15,22:45:00,22
Subramanyapura,2017,Robbery,08/01/2017,01,08,11:45:00,11
Subramanyapura,2017,Robbery,18/09/2017,09,18,23:40:00,23
Subramanyapura,2017,Robbery,27/09/2017,09,27,21:30:00,21
Subramanyapura,2017,Robbery,10/05/2017,05,10,17:30:00,17
Subramanyapura,2018,Robbery,18/04/2018,04,18,06:20:00,06
Subramanyapura,2019,Robbery,22/05/2019,05,22,02:30:00,02
Subramanyapura,2019,Robbery,31/05/2019,05,31,23:50:00,23
Thalaghtapura,2015,Robbery,02/10/2015,10,02,22:00:00,22
Thalaghtapura,2015,Robbery,02/10/2015,10,02,22:30:00,22
Thalaghtapura,2015,Robbery,25/05/2015,05,25,03:00:00,03
Thalaghtapura,2015,Robbery,06/06/2015,06,06,09:00:00,09
Thalaghtapura,2015,Robbery,19/12/2015,12,19,23:00:00,23
Thalaghtapura,2015,Robbery,23/12/2015,12,23,23:00:00,23
Thalaghtapura,2016,Robbery,18/03/2016,03,18,21:00:00,21
Thalaghtapura,2016,Robbery,20/03/2016,03,20,09:00:00,09
Thalaghtapura,2016,Robbery,19/04/2016,04,19,21:00:00,21
Thalaghtapura,2016,Robbery,19/10/2016,10,19,12:15:00,12
Thalaghtapura,2016,Robbery,11/05/2016,05,11,12:30:00,12
Thalaghtapura,2016,Robbery,11/11/2016,11,11,12:30:00,12
Thalaghtapura,2017,Robbery,30/04/2017,04,30,23:30:00,23
Thalaghtapura,2017,Robbery,14/06/2017,06,14,03:30:00,03
Thalaghtapura,2017,Robbery,11/04/2017,04,11,09:45:00,09
Thalaghtapura,2017,Robbery,07/12/2017,12,07,12:30:00,12
Thalaghtapura,2017,Robbery,21/12/2017,12,21,22:00:00,22
Thalaghtapura,2018,Robbery,23/03/2018,03,23,09:00:00,09
Thalaghtapura,2018,Robbery,04/09/2018,09,04,08:30:00,08
Thalaghtapura,2018,Robbery,27/05/2018,05,27,01:00:00,01
Thalaghtapura,2018,Robbery,27/05/2018,05,27,01:00:00,01
Thalaghtapura,2018,Robbery,27/08/2018,08,27,04:20:00,04
Thalaghtapura,2019,Robbery,06/01/2019,01,06,17:30:00,17
Thalaghtapura,2019,Robbery,07/12/2019,12,07,21:25:00,21
Thalaghtapura,2019,Robbery,29/11/2019,11,29,18:00:00,18
Konanakunte,2017,Robbery,01/07/2017,07,01,,
Konanakunte,2017,Robbery,23/01/2017,01,23,15:00:00,15
Konanakunte,2017,Robbery,24/02/2017,02,24,19:35:00,19
Konanakunte,2017,Robbery,03/06/2017,06,03,05:15:00,05
Konanakunte,2017,Robbery,03/06/2017,06,03,,
Konanakunte,2017,Robbery,03/08/2017,08,03,15:30:00,15
Konanakunte,2017,Robbery,08/03/2017,03,08,,
Konanakunte,2017,Robbery,16/05/2017,05,16,07:14:00,07
Konanakunte,2017,Robbery,16/05/2017,05,16,17:14:00,17
Konanakunte,2017,Robbery,31/05/2017,05,31,21:00:00,21
Konanakunte,2017,Robbery,21/06/2017,06,21,22:15:00,22
Konanakunte,2017,Robbery,09/10/2017,10,09,15:30:00,15
Konanakunte,2018,Robbery,03/01/2018,01,03,03:30:00,03
Konanakunte,2018,Robbery,04/10/2018,10,04,21:00:00,21
Konanakunte,2018,Robbery,10/12/2018,12,10,19:00:00,19
Konanakunte,2018,Robbery,20/10/2018,10,20,01:00:00,01
Konanakunte,2019,Robbery,26/02/2019,02,26,17:30:00,17
Konanakunte,2019,Robbery,20/05/2019,05,20,05:00:00,05
Konanakunte,2019,Robbery,22/08/2019,08,22,16:30:00,16
Konanakunte,2019,Robbery,20/12/2019,12,20,23:45:00,23
Puttenahalli,2017,Robbery,21/01/2017,01,21,03:00:00,03
Puttenahalli,2017,Robbery,21/02/2017,02,21,23:00:00,23
Puttenahalli,2017,Robbery,23/06/2017,06,23,07:00:00,07
Puttenahalli,2017,Robbery,08/07/2017,07,08,08:10:00,08
Puttenahalli,2017,Robbery,23/08/2017,08,23,13:40:00,13
Puttenahalli,2017,Robbery,10/09/2017,09,10,10:00:00,10
Puttenahalli,2017,Robbery,12/11/2017,11,12,21:30:00,21
Puttenahalli,2017,Robbery,12/12/2017,12,12,15:30:00,15
Puttenahalli,2017,Robbery,17/12/2017,12,17,15:30:00,15
Puttenahalli,2019,Robbery,27/05/2019,05,27,22:10:00,22
Puttenahalli,2019,Robbery,30/06/2019,06,30,23:50:00,23
K S Layout,2015,Robbery,02/05/2015,05,02,23:15:00,23
K S Layout,2015,Robbery,02/11/2015,11,02,17:00:00,17
K S Layout,2015,Robbery,05/02/2015,02,05,15:00:00,15
K S Layout,2016,Robbery,05/12/2016,12,05,07:00:00,07
K S Layout,2016,Robbery,31/05/2016,05,31,20:10:00,20
K S Layout,2016,Robbery,28/07/2016,07,28,23:45:00,23
K S Layout,2016,Robbery,13/11/2016,11,13,11:45:00,11
K S Layout,2016,Robbery,12/01/2016,01,12,18:30:00,18
K S Layout,2016,Robbery,12/12/2016,12,12,14:30:00,14
K S Layout,2017,Robbery,01/05/2017,05,01,11:35:00,11
K S Layout,2017,Robbery,03/06/2017,06,03,23:50:00,23
K S Layout,2017,Robbery,21/07/2017,07,21,21:00:00,21
K S Layout,2017,Robbery,29/08/2017,08,29,23:00:00,23
K S Layout,2017,Robbery,09/01/2017,01,09,18:00:00,18
K S Layout,2017,Robbery,02/11/2017,11,02,01:30:00,01
K S Layout,2017,Robbery,28/11/2017,11,28,21:00:00,21
