Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2016,Attempted Murder,02/10/2016,10,02,07:00:00,07
Jayanagar,2016,Attempted Murder,11/09/2016,09,11,13:30:00,13
Jayanagar,2017,Attempted Murder,06/12/2017,12,06,22:15:00,22
Jayanagar,2017,Attempted Murder,12/02/2018,02,12,23:50:00,23
Jayanagar,2017,Attempted Murder,02/01/2015,01,02,07:35:00,07
Jayanagar,2018,Attempted Murder,08/10/2015,10,08,18:00:00,18
Jayanagar,2018,Attempted Murder,05/03/2017,03,05,16:45:00,16
Jayanagar,2018,Attempted Murder,05/09/2017,09,05,20:00:00,20
Jayanagar,2018,Attempted Murder,09/11/2017,11,09,16:25:00,16
Jayanagar,2019,Attempted Murder,11/09/2017,09,11,19:30:00,19
Basavanagudi,2015,Attempted Murder,02/12/2018,12,02,23:15:00,23
Basavanagudi,2015,Attempted Murder,07/07/2019,07,07,10:30:00,10
Basavanagudi,2017,Attempted Murder,05/11/2015,11,05,11:00:00,11
Basavanagudi,2017,Attempted Murder,09/02/2015,02,09,13:45:00,13
Basavanagudi,2017,Attempted Murder,03/04/2016,04,03,11:30:00,11
Basavanagudi,2017,Attempted Murder,09/05/2016,05,09,00:15:00,00
Basavanagudi,2018,Attempted Murder,12/09/2016,09,12,21:15:00,21
Basavanagudi,2018,Attempted Murder,05/08/2017,08,05,21:15:00,21
Basavanagudi,2018,Attempted Murder,06/12/2018,12,06,11:30:00,11
Basavanagudi,2019,Attempted Murder,01/03/2015,03,01,19:12:00,19
Basavanagudi,2019,Attempted Murder,03/01/2015,01,03,14:30:00,14
J P Nagar,2015,Attempted Murder,04/07/2015,07,04,04:05:00,04
J P Nagar,2015,Attempted Murder,10/09/2015,09,10,23:46:00,23
J P Nagar,2015,Attempted Murder,11/04/2015,04,11,22:50:00,22
J P Nagar,2015,Attempted Murder,06/01/2016,01,06,23:01:00,23
J P Nagar,2015,Attempted Murder,11/12/2016,12,11,08:35:00,08
J P Nagar,2015,Attempted Murder,05/03/2017,03,05,21:45:00,21
J P Nagar,2016,Attempted Murder,10/01/2017,01,10,22:01:00,22
J P Nagar,2016,Attempted Murder,11/08/2017,08,11,15:35:00,15
J P Nagar,2016,Attempted Murder,11/09/2017,09,11,17:01:00,17
J P Nagar,2016,Attempted Murder,11/09/2017,09,11,11:30:00,11
J P Nagar,2016,Attempted Murder,04/08/2018,08,04,13:15:00,13
J P Nagar,2016,Attempted Murder,04/12/2018,12,04,22:45:00,22
J P Nagar,2016,Attempted Murder,09/07/2018,07,09,00:00:00,00
J P Nagar,2017,Attempted Murder,12/04/2018,04,12,22:01:00,22
J P Nagar,2018,Attempted Murder,03/11/2019,11,03,18:20:00,18
J P Nagar,2018,Attempted Murder,04/12/2018,12,04,18:30:00,18
J P Nagar,2018,Attempted Murder,04/11/2015,11,04,11:20:00,11
J P Nagar,2019,Attempted Murder,08/06/2015,06,08,18:40:00,18
J P Nagar,2019,Attempted Murder,08/11/2015,11,08,03:00:00,03
J P Nagar,2019,Attempted Murder,09/03/2015,03,09,01:00:00,01
J P Nagar,2019,Attempted Murder,09/06/2015,06,09,17:00:00,17
Banashankari,2015,Attempted Murder,10/03/2015,03,10,01:15:00,01
Banashankari,2015,Attempted Murder,03/08/2016,08,03,20:00:00,20
Banashankari,2015,Attempted Murder,07/06/2017,06,07,14:30:00,14
Banashankari,2015,Attempted Murder,01/06/2019,06,01,17:45:00,17
Banashankari,2015,Attempted Murder,04/08/2019,08,04,21:00:00,21
Banashankari,2015,Attempted Murder,08/07/2019,07,08,13:30:00,13
Banashankari,2015,Attempted Murder,12/09/2019,09,12,13:00:00,13
Banashankari,2015,Attempted Murder,12/10/2019,10,12,22:30:00,22
Banashankari,2015,Attempted Murder,01/11/2016,11,01,18:10:00,18
Banashankari,2015,Attempted Murder,24/02/2016,02,24,15:00:00,15
Banashankari,2016,Attempted Murder,03/07/2016,07,03,15:30:00,15
Banashankari,2016,Attempted Murder,04/07/2016,07,04,21:00:00,21
Banashankari,2016,Attempted Murder,08/07/2016,07,08,21:00:00,21
Banashankari,2016,Attempted Murder,10/09/2016,09,10,21:30:00,21
Banashankari,2016,Attempted Murder,17/11/2016,11,17,23:30:00,23
Banashankari,2016,Attempted Murder,21/11/2016,11,21,21:00:00,21
Banashankari,2016,Attempted Murder,06/06/2017,06,06,00:30:00,00
Banashankari,2016,Attempted Murder,10/04/2017,04,10,10:30:00,10
Banashankari,2016,Attempted Murder,10/08/2017,08,10,11:45:00,11
Banashankari,2016,Attempted Murder,12/08/2017,08,12,22:15:00,22
Banashankari,2017,Attempted Murder,02/04/2018,04,02,17:00:00,17
Banashankari,2017,Attempted Murder,12/08/2018,08,12,09:30:00,09
Banashankari,2017,Attempted Murder,04/03/2019,03,04,10:00:00,10
Banashankari,2017,Attempted Murder,03/08/2019,08,03,06:00:00,06
Banashankari,2017,Attempted Murder,01/02/2015,02,01,23:45:00,23
Banashankari,2017,Attempted Murder,04/05/2015,05,04,05:00:00,05
Banashankari,2017,Attempted Murder,08/08/2016,08,08,08:00:00,08
Banashankari,2017,Attempted Murder,08/08/2016,08,08,10:45:00,10
Banashankari,2018,Attempted Murder,12/03/2016,03,12,18:15:00,18
Banashankari,2018,Attempted Murder,02/01/2017,01,02,10:50:00,10
Banashankari,2018,Attempted Murder,04/11/2017,11,04,15:30:00,15
Banashankari,2018,Attempted Murder,06/10/2017,10,06,09:30:00,09
Banashankari,2018,Attempted Murder,02/11/2018,11,02,09:45:00,09
Banashankari,2019,Attempted Murder,04/01/2018,01,04,13:15:00,13
Banashankari,2019,Attempted Murder,09/11/2018,11,09,17:30:00,17
Banashankari,2019,Attempted Murder,04/07/2019,07,04,09:30:00,09
Banashankari,2019,Attempted Murder,09/04/2019,04,09,15:45:00,15
Banashankari,2019,Attempted Murder,09/05/2019,05,09,20:40:00,20
Siddapura,2015,Attempted Murder,07/02/2017,02,07,14:30:00,14
Siddapura,2015,Attempted Murder,10/12/2017,12,10,14:00:00,14
Siddapura,2015,Attempted Murder,12/02/2017,02,12,18:30:00,18
Siddapura,2015,Attempted Murder,12/03/2017,03,12,21:00:00,21
Siddapura,2015,Attempted Murder,02/05/2019,05,02,00:15:00,00
Siddapura,2015,Attempted Murder,04/11/2018,11,04,20:30:00,20
Siddapura,2015,Attempted Murder,07/02/2018,02,07,20:00:00,20
Siddapura,2015,Attempted Murder,02/05/2019,05,02,20:00:00,20
Siddapura,2015,Attempted Murder,04/03/2019,03,04,09:15:00,09
Siddapura,2015,Attempted Murder,04/04/2019,04,04,21:00:00,21
Siddapura,2016,Attempted Murder,02/12/2017,12,02,13:15:00,13
Siddapura,2016,Attempted Murder,03/06/2017,06,03,13:00:00,13
