Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2015,4 Wheeler Theft,01/05/2015,05,01,18:40:00,18
Jayanagar,2015,4 Wheeler Theft,02/06/2015,06,02,13:00:00,13
Jayanagar,2015,4 Wheeler Theft,09/04/2015,04,09,13:30:00,13
Jayanagar,2015,4 Wheeler Theft,20/11/2015,11,20,17:30:00,17
Jayanagar,2015,4 Wheeler Theft,12/08/2015,08,12,17:15:00,17
Jayanagar,2015,4 Wheeler Theft,12/10/2015,10,12,18:45:00,18
Jayanagar,2016,4 Wheeler Theft,07/05/2016,05,07,14:45:00,14
Jayanagar,2016,4 Wheeler Theft,19/10/2016,10,19,13:00:00,13
Jayanagar,2016,4 Wheeler Theft,21/10/2016,10,21,11:30:00,11
Jayanagar,2016,4 Wheeler Theft,24/10/2016,10,24,17:00:00,17
Jayanagar,2016,4 Wheeler Theft,25/10/2016,10,25,15:00:00,15
Jayanagar,2017,4 Wheeler Theft,02/03/2017,03,02,11:30:00,11
Jayanagar,2017,4 Wheeler Theft,27/03/2017,03,27,12:15:00,12
Jayanagar,2017,4 Wheeler Theft,21/08/2017,08,21,12:45:00,12
Jayanagar,2018,4 Wheeler Theft,14/04/2018,04,14,11:30:00,11
Jayanagar,2018,4 Wheeler Theft,06/09/2018,09,06,16:30:00,16
Jayanagar,2018,4 Wheeler Theft,29/06/2018,06,29,16:00:00,16
Jayanagar,2018,4 Wheeler Theft,09/03/2018,03,09,18:00:00,18
Jayanagar,2018,4 Wheeler Theft,14/11/2018,11,14,11:00:00,11
Jayanagar,2019,4 Wheeler Theft,27/05/2019,05,27,11:00:00,11
Basavanagudi,2016,4 Wheeler Theft,02/01/2016,01,02,,
Basavanagudi,2016,4 Wheeler Theft,25/04/2016,04,25,,
Basavanagudi,2016,4 Wheeler Theft,16/06/2016,06,16,,
Basavanagudi,2016,4 Wheeler Theft,02/12/2016,12,02,,
Basavanagudi,2017,4 Wheeler Theft,25/05/2017,05,25,,
Basavanagudi,2017,4 Wheeler Theft,20/08/2017,08,20,,
Basavanagudi,2018,4 Wheeler Theft,02/08/2018,08,02,,
Basavanagudi,2018,4 Wheeler Theft,09/06/2018,06,09,,
Basavanagudi,2019,4 Wheeler Theft,21/02/2019,02,21,,
J P Nagar,2015,4 Wheeler Theft,01/08/2015,08,01,10:55:00,10
J P Nagar,2015,4 Wheeler Theft,21/01/2015,01,21,11:20:00,11
J P Nagar,2015,4 Wheeler Theft,03/05/2015,05,03,19:35:00,19
J P Nagar,2015,4 Wheeler Theft,03/12/2015,12,03,18:30:00,18
J P Nagar,2015,4 Wheeler Theft,17/03/2015,03,17,21:00:00,21
