Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2016,Kidnap,24/02/2016,02,24,13:30:00,13
Jayanagar,2016,Kidnap,09/01/2016,01,09,12:35:00,12
Jayanagar,2017,Kidnap,01/09/2017,09,01,11:20:00,11
Jayanagar,2017,Kidnap,13/09/2017,09,13,16:00:00,16
Jayanagar,2017,Kidnap,24/10/2017,10,24,12:45:00,12
Jayanagar,2017,Kidnap,31/10/2017,10,31,18:15:00,18
Jayanagar,2018,Kidnap,20/03/2018,03,20,13:00:00,13
Jayanagar,2018,Kidnap,04/10/2018,10,04,16:15:00,16
Jayanagar,2018,Kidnap,24/04/2018,04,24,11:00:00,11
Jayanagar,2018,Kidnap,29/07/2018,07,29,17:00:00,17
Jayanagar,2018,Kidnap,11/02/2018,02,11,10:00:00,10
Jayanagar,2019,Kidnap,30/03/2019,03,30,20:45:00,20
Jayanagar,2019,Kidnap,27/06/2019,06,27,21:30:00,21
Jayanagar,2019,Kidnap,08/10/2019,10,08,18:00:00,18
Jayanagar,2019,Kidnap,19/11/2019,11,19,20:30:00,20
Jayanagar,2019,Kidnap,20/11/2019,11,20,16:00:00,16
Basavanagudi,2015,Kidnap,18/07/2015,07,18,20:45:00,20
Basavanagudi,2015,Kidnap,26/11/2015,11,26,18:15:00,18
Basavanagudi,2015,Kidnap,30/11/2015,11,30,23:50:00,23
Basavanagudi,2015,Kidnap,19/12/2015,12,19,20:45:00,20
Basavanagudi,2016,Kidnap,13/01/2016,01,13,12:30:00,12
Basavanagudi,2016,Kidnap,09/02/2016,02,09,,
Basavanagudi,2017,Kidnap,02/03/2017,03,02,,
Basavanagudi,2017,Kidnap,28/03/2017,03,28,14:00:00,14
Basavanagudi,2017,Kidnap,05/07/2017,07,05,,
Basavanagudi,2017,Kidnap,06/09/2017,09,06,,
Basavanagudi,2017,Kidnap,25/06/2017,06,25,14:30:00,14
Basavanagudi,2017,Kidnap,16/10/2017,10,16,21:10:00,21
Basavanagudi,2017,Kidnap,26/12/2017,12,26,17:00:00,17
Basavanagudi,2017,Kidnap,05/07/2017,07,05,,
Basavanagudi,2018,Kidnap,02/10/2018,10,02,,
Basavanagudi,2018,Kidnap,19/07/2018,07,19,22:30:00,22
Basavanagudi,2018,Kidnap,08/05/2018,05,08,,
Basavanagudi,2018,Kidnap,09/10/2018,10,09,,
Basavanagudi,2018,Kidnap,11/06/2018,06,11,,
Basavanagudi,2018,Kidnap,02/01/2015,01,02,,
Basavanagudi,2018,Kidnap,16/02/2019,02,16,10:40:00,10
Basavanagudi,2018,Kidnap,10/01/2019,01,10,,
Basavanagudi,2018,Kidnap,11/11/2019,11,11,,
J P Nagar,2015,Kidnap,14/01/2015,01,14,04:10:00,04
J P Nagar,2015,Kidnap,03/10/2015,10,03,,
J P Nagar,2015,Kidnap,05/02/2015,02,05,,
J P Nagar,2015,Kidnap,07/12/2015,12,07,,
J P Nagar,2015,Kidnap,08/06/2015,06,08,,
J P Nagar,2015,Kidnap,24/08/2015,08,24,07:30:00,07
J P Nagar,2015,Kidnap,24/09/2015,09,24,03:05:00,03
J P Nagar,2015,Kidnap,11/09/2015,09,11,,
J P Nagar,2015,Kidnap,12/02/2015,02,12,,
J P Nagar,2015,Kidnap,12/02/2015,02,12,,
J P Nagar,2015,Kidnap,24/12/2015,12,24,01:45:00,01
J P Nagar,2016,Kidnap,30/12/2015,12,30,05:05:00,05
J P Nagar,2016,Kidnap,23/01/2016,01,23,01:00:00,01
J P Nagar,2016,Kidnap,02/07/2016,07,02,,
J P Nagar,2016,Kidnap,14/04/2016,04,14,06:10:00,06
J P Nagar,2016,Kidnap,07/01/2016,01,07,,
J P Nagar,2016,Kidnap,08/09/2016,09,08,,
J P Nagar,2016,Kidnap,17/08/2016,08,17,03:25:00,03
J P Nagar,2016,Kidnap,18/08/2016,08,18,08:30:00,08
J P Nagar,2016,Kidnap,12/03/2016,03,12,,
J P Nagar,2017,Kidnap,25/12/2016,12,25,09:30:00,09
J P Nagar,2017,Kidnap,28/01/2017,01,28,04:00:00,04
J P Nagar,2018,Kidnap,28/09/2018,09,28,04:00:00,04
J P Nagar,2018,Kidnap,17/11/2018,11,17,04:00:00,04
J P Nagar,2018,Kidnap,17/11/2018,11,17,04:45:00,04
J P Nagar,2018,Kidnap,13/12/2018,12,13,04:25:00,04
J P Nagar,2018,Kidnap,19/12/2018,12,19,10:00:00,10
J P Nagar,2019,Kidnap,02/02/2019,02,02,,
J P Nagar,2019,Kidnap,03/02/2019,02,03,,
J P Nagar,2019,Kidnap,20/08/2019,08,20,12:00:00,12
J P Nagar,2019,Kidnap,11/03/2019,03,11,,
J P Nagar,2019,Kidnap,21/11/2019,11,21,08:35:00,08
Banashankari,2015,Kidnap,01/10/2015,10,01,14:30:00,14
Banashankari,2015,Kidnap,27/02/2015,02,27,20:00:00,20
Banashankari,2015,Kidnap,05/12/2015,12,05,23:30:00,23
Banashankari,2015,Kidnap,19/05/2015,05,19,16:00:00,16
Banashankari,2015,Kidnap,20/05/2015,05,20,13:30:00,13
Banashankari,2015,Kidnap,06/04/2015,04,06,13:00:00,13
Banashankari,2015,Kidnap,06/07/2015,07,06,12:00:00,12
Banashankari,2015,Kidnap,13/06/2015,06,13,09:30:00,09
Banashankari,2015,Kidnap,23/06/2018,06,23,19:30:00,19
Banashankari,2015,Kidnap,08/10/2018,10,08,09:30:00,09
Banashankari,2015,Kidnap,08/12/2015,12,08,18:30:00,18
Banashankari,2015,Kidnap,29/12/2018,12,29,10:30:00,10
Banashankari,2015,Kidnap,10/10/2015,10,10,09:30:00,09
Banashankari,2015,Kidnap,12/04/2015,04,12,01:45:00,01
Banashankari,2016,Kidnap,01/07/2016,07,01,17:00:00,17
Banashankari,2016,Kidnap,02/01/2016,01,02,20:30:00,20
