Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2016,Murder,29/07/2016,07,29,21:00:00,21
Jayanagar,2016,Murder,13/11/2016,11,13,23:45:00,23
Jayanagar,2017,Murder,05/10/2017,10,05,21:00:00,21
Jayanagar,2017,Murder,19/07/2017,07,19,19:30:00,19
Jayanagar,2018,Murder,21/06/2018,06,21,23:30:00,23
Jayanagar,2018,Murder,17/07/2018,07,17,21:15:00,21
Basavanagudi,2015,Murder,27/08/2015,08,27,21:30:00,21
Basavanagudi,2016,Murder,18/06/2016,06,18,21:00:00,21
Basavanagudi,2017,Murder,07/02/2017,02,07,18:30:00,18
Basavanagudi,2019,Murder,29/07/2019,07,29,18:00:00,18
J P Nagar,2015,Murder,01/07/2015,07,01,06:00:00,06
J P Nagar,2015,Murder,26/01/2015,01,26,16:10:00,16
J P Nagar,2015,Murder,11/08/2015,08,11,08:00:00,08
J P Nagar,2016,Murder,16/05/2016,05,16,07:30:00,07
J P Nagar,2016,Murder,09/06/2016,06,09,09:15:00,09
J P Nagar,2016,Murder,09/11/2016,11,09,02:50:00,02
J P Nagar,2016,Murder,21/11/2016,11,21,14:20:00,14
J P Nagar,2018,Murder,01/01/2018,01,01,02:00:00,02
J P Nagar,2018,Murder,01/01/2018,01,01,02:15:00,02
J P Nagar,2019,Murder,25/08/2019,08,25,01:30:00,01
J P Nagar,2019,Murder,25/08/2019,08,25,02:30:00,02
Banashankari,2016,Murder,25/03/2016,03,25,21:40:00,21
Banashankari,2016,Murder,26/04/2016,04,26,08:15:00,08
Banashankari,2016,Murder,05/08/2016,08,05,06:15:00,06
Banashankari,2016,Murder,23/05/2016,05,23,00:45:00,00
Banashankari,2016,Murder,12/02/2016,02,12,22:30:00,22
Banashankari,2017,Murder,02/09/2017,09,02,19:00:00,19
Banashankari,2017,Murder,27/11/2017,11,27,11:00:00,11
Siddapura,2015,Murder,23/07/2015,07,23,16:00:00,16
Siddapura,2015,Murder,23/12/2015,12,23,16:30:00,16
Siddapura,2016,Murder,04/10/2016,10,04,22:00:00,22
Siddapura,2016,Murder,16/05/2016,05,16,21:30:00,21
Siddapura,2019,Murder,22/06/2019,06,22,02:00:00,02
Subramanyapura,2015,Murder,02/05/2015,05,02,18:30:00,18
Subramanyapura,2015,Murder,02/09/2015,09,02,15:00:00,15
Subramanyapura,2015,Murder,15/03/2015,03,15,16:45:00,16
Subramanyapura,2015,Murder,26/03/2015,03,26,21:45:00,21
