Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2015,Rape,06/02/2015,02,06,,
Jayanagar,2017,Rape,26/10/2017,10,26,14:00:00,14
Jayanagar,2017,Rape,26/12/2017,12,26,20:00:00,20
Basavanagudi,2015,Rape,30/10/2015,10,30,13:30:00,13
Basavanagudi,2019,Rape,04/09/2019,09,04,,
Basavanagudi,2019,Rape,20/05/2019,05,20,12:00:00,12
J P Nagar,2015,Rape,23/02/2015,02,23,12:00:00,12
J P Nagar,2015,Rape,18/05/2015,05,18,12:00:00,12
J P Nagar,2016,Rape,02/04/2016,04,02,,
J P Nagar,2018,Rape,15/03/2018,03,15,08:30:00,08
J P Nagar,2018,Rape,24/03/2018,03,24,12:30:00,12
Banashankari,2015,Rape,16/06/2015,06,16,13:30:00,13
Banashankari,2016,Rape,03/02/2016,02,03,12:00:00,12
Banashankari,2016,Rape,24/08/2016,08,24,10:00:00,10
Banashankari,2017,Rape,25/01/2017,01,25,18:00:00,18
Banashankari,2017,Rape,18/04/2017,04,18,18:00:00,18
Banashankari,2017,Rape,11/01/2017,01,11,17:00:00,17
Banashankari,2018,Rape,08/03/2018,03,08,12:10:00,12
Siddapura,2015,Rape,26/02/2015,02,26,22:30:00,22
Siddapura,2016,Rape,05/04/2016,04,05,11:00:00,11
Subramanyapura,2015,Rape,29/01/2015,01,29,11:30:00,11
Subramanyapura,2015,Rape,04/03/2015,03,04,13:50:00,13
Subramanyapura,2015,Rape,22/04/2015,04,22,14:30:00,14
Subramanyapura,2016,Rape,19/03/2016,03,19,01:30:00,01
Subramanyapura,2016,Rape,15/07/2016,07,15,17:00:00,17
Subramanyapura,2016,Rape,20/07/2016,07,20,21:45:00,21
Subramanyapura,2017,Rape,27/03/2017,03,27,17:00:00,17
Subramanyapura,2017,Rape,05/11/2017,11,05,18:40:00,18
Subramanyapura,2018,Rape,29/05/2018,05,29,22:45:00,22
Subramanyapura,2019,Rape,18/08/2019,08,18,19:30:00,19
Thalaghtapura,2015,Rape,09/10/2015,10,09,22:00:00,22
Thalaghtapura,2015,Rape,09/10/2015,10,09,22:00:00,22
Thalaghtapura,2016,Rape,01/02/2016,02,01,,
Thalaghtapura,2018,Rape,22/12/2018,12,22,16:00:00,16
Thalaghtapura,2019,Rape,03/04/2019,04,03,20:00:00,20
Thalaghtapura,2019,Rape,05/07/2019,07,05,20:00:00,20
Thalaghtapura,2019,Rape,20/06/2019,06,20,19:00:00,19
Thalaghtapura,2019,Rape,20/07/2019,07,20,21:00:00,21
Thalaghtapura,2019,Rape,17/08/2019,08,17,11:45:00,11
Thalaghtapura,2019,Rape,10/02/2019,02,10,10:00:00,10
Thalaghtapura,2019,Rape,11/03/2019,03,11,20:00:00,20
Konanakunte,2017,Rape,20/10/2017,10,20,10:00:00,10
Konanakunte,2017,Rape,17/12/2017,12,17,13:00:00,13
Konanakunte,2018,Rape,23/03/2018,03,23,22:30:00,22
Konanakunte,2018,Rape,24/03/2018,03,24,12:40:00,12
Konanakunte,2018,Rape,24/03/2018,03,24,21:00:00,21
Konanakunte,2018,Rape,07/06/2018,06,07,09:30:00,09
Konanakunte,2018,Rape,08/05/2018,05,08,18:10:00,18
Konanakunte,2018,Rape,26/11/2018,11,26,19:45:00,19
Konanakunte,2019,Rape,07/03/2019,03,07,12:30:00,12
Konanakunte,2019,Rape,23/08/2019,08,23,23:30:00,23
Konanakunte,2019,Rape,24/10/2019,10,24,17:00:00,17
Konanakunte,2019,Rape,11/12/2019,12,11,07:00:00,07
Puttenahalli,2018,Rape,16/11/2018,11,16,16:30:00,16
Puttenahalli,2019,Rape,25/01/2019,01,25,10:50:00,10
K S Layout,2015,Rape,12/01/2015,01,12,03:15:00,03
K S Layout,2017,Rape,04/07/2017,07,04,21:00:00,21
K S Layout,2017,Rape,01/07/2017,07,01,20:00:00,20
K S Layout,2018,Rape,12/06/2018,06,12,18:00:00,18
K S Layout,2019,Rape,27/03/2019,03,27,16:00:00,16
K S Layout,2019,Rape,12/04/2019,04,12,16:00:00,16
Girinagar,2015,Rape,17/06/2015,06,17,16:15:00,16
Girinagar,2015,Rape,29/08/2015,08,29,20:05:00,20
Girinagar,2015,Rape,24/11/2015,11,24,16:00:00,16
Girinagar,2018,Rape,26/05/2018,05,26,,
K G Nagar,2016,Rape,10/07/2016,07,10,16:00:00,16
K G Nagar,2019,Rape,25/03/2019,03,25,21:20:00,21
K G Nagar,2019,Rape,04/12/2019,12,04,20:30:00,20
K G Nagar,2019,Rape,31/10/2019,10,31,18:30:00,18
Shankarapura,2017,Rape,13/01/2017,01,13,10:00:00,10
H Nagar,2015,Rape,28/01/2015,01,28,,
C K Acchuktu,2016,Rape,01/08/2016,08,01,03:00:00,03
C K Acchuktu,2016,Rape,05/08/2016,08,05,11:30:00,11
C K Acchuktu,2018,Rape,26/02/2018,02,26,08:45:00,08
C K Acchuktu,2018,Rape,24/03/2018,03,24,07:30:00,07
C K Acchuktu,2019,Rape,27/05/2019,05,27,09:00:00,09
