Police_Station,Year,Type,Date,Month,Day,Time,Hour
Jayanagar,2015,2 wheeler theft,01/02/2015,02,01,16:45:00,16
Jayanagar,2015,2 wheeler theft,01/03/2015,03,01,20:00:00,20
Jayanagar,2015,2 wheeler theft,01/04/2015,04,01,17:30:00,17
Jayanagar,2015,2 wheeler theft,01/05/2015,05,01,19:45:00,19
Jayanagar,2015,2 wheeler theft,01/06/2015,06,01,19:45:00,19
Jayanagar,2015,2 wheeler theft,01/07/2015,07,01,19:15:00,19
Jayanagar,2015,2 wheeler theft,01/08/2015,08,01,19:30:00,19
Jayanagar,2015,2 wheeler theft,01/09/2015,09,01,12:30:00,12
Jayanagar,2015,2 wheeler theft,01/10/2015,10,01,16:30:00,16
Jayanagar,2015,2 wheeler theft,01/11/2015,11,01,15:00:00,15
Jayanagar,2015,2 wheeler theft,01/12/2015,12,01,18:15:00,18
Jayanagar,2015,2 wheeler theft,13/01/2015,01,13,16:00:00,16
Jayanagar,2015,2 wheeler theft,14/01/2015,01,14,18:50:00,18
Jayanagar,2015,2 wheeler theft,15/01/2015,01,15,19:00:00,19
Jayanagar,2015,2 wheeler theft,16/01/2015,01,16,14:00:00,14
Jayanagar,2015,2 wheeler theft,17/01/2015,01,17,17:30:00,17
Jayanagar,2015,2 wheeler theft,18/01/2015,01,18,18:00:00,18
Jayanagar,2015,2 wheeler theft,19/01/2015,01,19,10:35:00,10
Jayanagar,2015,2 wheeler theft,20/01/2015,01,20,10:35:00,10
Jayanagar,2015,2 wheeler theft,21/01/2015,01,21,12:45:00,12
Jayanagar,2015,2 wheeler theft,22/01/2015,01,22,10:30:00,10
Jayanagar,2015,2 wheeler theft,23/01/2015,01,23,14:10:00,14
Jayanagar,2015,2 wheeler theft,24/01/2015,01,24,13:30:00,13
Jayanagar,2015,2 wheeler theft,25/01/2015,01,25,12:00:00,12
Jayanagar,2015,2 wheeler theft,26/01/2015,01,26,17:00:00,17
Jayanagar,2015,2 wheeler theft,27/01/2015,01,27,17:45:00,17
Jayanagar,2015,2 wheeler theft,28/01/2015,01,28,19:00:00,19
Jayanagar,2015,2 wheeler theft,29/01/2015,01,29,19:00:00,19
Jayanagar,2015,2 wheeler theft,30/01/2015,01,30,12:40:00,12
Jayanagar,2015,2 wheeler theft,31/01/2015,01,31,12:00:00,12
Jayanagar,2015,2 wheeler theft,02/01/2015,01,02,14:00:00,14
Jayanagar,2015,2 wheeler theft,02/02/2015,02,02,19:30:00,19
Jayanagar,2015,2 wheeler theft,02/03/2015,03,02,22:00:00,22
Jayanagar,2015,2 wheeler theft,02/04/2015,04,02,18:30:00,18
Jayanagar,2015,2 wheeler theft,02/05/2015,05,02,16:00:00,16
Jayanagar,2015,2 wheeler theft,02/06/2015,06,02,18:00:00,18
Jayanagar,2015,2 wheeler theft,02/07/2015,07,02,14:00:00,14
Jayanagar,2015,2 wheeler theft,02/08/2015,08,02,19:40:00,19
Jayanagar,2015,2 wheeler theft,02/09/2015,09,02,11:00:00,11
Jayanagar,2015,2 wheeler theft,02/10/2015,10,02,15:00:00,15
Jayanagar,2015,2 wheeler theft,02/11/2015,11,02,11:00:00,11
Jayanagar,2015,2 wheeler theft,02/12/2015,12,02,16:00:00,16
Jayanagar,2015,2 wheeler theft,13/02/2015,02,13,13:30:00,13
Jayanagar,2015,2 wheeler theft,14/02/2015,02,14,18:15:00,18
Jayanagar,2015,2 wheeler theft,15/02/2015,02,15,14:00:00,14
Jayanagar,2015,2 wheeler theft,16/02/2015,02,16,10:00:00,10
Jayanagar,2015,2 wheeler theft,17/02/2015,02,17,11:00:00,11
Jayanagar,2015,2 wheeler theft,18/02/2015,02,18,16:30:00,16
Jayanagar,2015,2 wheeler theft,19/02/2015,02,19,17:30:00,17
