Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
Basavanagudi,2017,Robbery,21/02/2017,23:00:00,"INFRONT OF KALYANI MAGNUM, JP NAGAR, Bengaluru City",12.964648,76.298362
Basavanagudi,2019,Chain Snatching,6/3/2019,12:00,"NEAR 5TH A CROSS, 4TH MAIN,, GIRINAGARA, Bengaluru City, Karnaka,
560085",12.964648,76.298362
Puttenahalli,2018,Ordinary Theft,31/08/2018,10:30,"Pizza hut shop opp,kriguppe ring road BSK 3rd stage,Bangalore-85",12.027957,77.632495
Puttenahalli,2018,Ordinary Theft,6/9/2018,,"oppo dominos shop,kriguppe ring road,BSK 3rd stage,Bangalore-85",12.028642,77.631795
Puttenahalli,2018,Ordinary Theft,8/9/2018,,"No.448,6th main,2nd block,3th floor,BSK 3rd stage,Bangalore-85",12.028642,77.631795
Subramanyapura,2017,Assault,31/12/2017,11:00,"33rd Cross, 16th Main,,
Jayanagara 4th T Block,,
Bengaluru City,",12.16216,77.70683
C K Achuktu,2016,2 wheeler theft,13/04/2016,1:30:00 PM,"Opp Tayi Jewellari 8th F Main,Jayanagara 3rd Block",12.241652,77.363942
Subramanyapura,2019,Assault,23/12/2019,11:30,"NO 15 37th Cross 14th
main, Jayanagar 4th T
Block, Bengaluru City",12.241652,77.363942
C K Achuktu,2016,2 wheeler theft,26/03/2016,2:00:00 PM,"INFRONT OF NO.408, 8th MAIN, 33rd CROSS,4th BLOCK, JAYANAGAR",12.241653,77.363421
C K Achuktu,2016,2 wheeler theft,14/04/2016,12:30:00 PM,"Infront of House No 418/31-2, 18th Main road,4th T Block, Jayanagara",12.241653,77.349614
Subramanyapura,2019,Assault,01/10/2019,5:00,"SHREE RAMA WINE
STORE, KANAKAPURA
MAIN ROAD,, 8TH
BLOCK,JAYA",12.241653,77.363421
Subramanyapura,2019,Assault,29/11/2019,10:45,"33rd Cross, 16th main,
Jayanagar 4th T Block,
Bengaluru Cit",12.241653,77.349614
K S Layout,2018,4 Wheeler Theft,09/11/2018,11:00,"No, 31/34, 1st cross, 2nd main, 5th block, BSK 3rd stg, Bengluru/85",12.2553,77.552298
C K Achuktu,2016,2 wheeler theft,6/6/2016,1:15:00 PM,"Near Surana College,Jayanagara 6th Block",12.26436,76.64675
K S Layout,2015,Ordinary Theft,15/09/2015,14:30,"Near NMKRV College, 3rd block,Jayanagara",12.265842,77.248562
C K Achuktu,2016,2 wheeler theft,18/01/2016,9:40:00 PM,"NO,303, 21st Cross,Jayanagara 6th Block",12.26607,76.58227
Subramanyapura,2017,Assault,11/22/2017,,"Near Adigas Hotel,
Jayanagar 4th Block Bengaluru",12.26607,76.58227
C K Achuktu,2018,2 wheeler theft,20/08/2018,12:00:00 AM,"Near R V Road metro
stion, 3rd main, 38th cross,
8th block Jayanagar,
Bengaluru City,",12.28645,77.63327
Banashankari,2019,Robbery,30/12/2019,13:00,"11th Main Road, 3rd Block Jayanagar",12.28657,76.63203
C K Achuktu,2018,2 wheeler theft,28/08/2018,12:00:00 AM,"Near south end circle, 3rd
Block Jayanagar, Bengaluru",12.28657,77.63203
Banashankari,2018,Attempted Murder,30/11/2018,20:00,"Kanakapura main road, Infront of Modern Tiles, Near JSS Circle, 7th Block Jayanagar Bangalore",12.28784,76.63313
Basavanagudi,2019,Chain Snatching,16/04/2019,11:00,"Infront of Netradhama Hospital, Kanakapura main road, 7th Block Jayanagar",12.28784,76.633133
Basavanagudi,2019,Chain Snatching,24/04/2019,19:00,"Infront of Netradhama Hospital, Kanakapura main road, 7th Block Jayanagar",12.28784,76.633133
C K Achuktu,2019,2 wheeler theft,14/09/2019,6:00:00 PM,"Infront of Srikrishna
Sevashrama hospital, 5th
Block Jayanagar, Bengaluru",12.28784,76.63313
C K Achuktu,2019,2 wheeler theft,4/7/2019,5:30:00 PM,"RV ROAD METRO
NEAR NANDINI MILK
PARLOUR, 5TH BLOCK
JAYANAGAR, Bengaluru",12.28784,76.63313
K S Layout,2019,Ordinary Theft,23/07/2019,19:00,"13TH Main Shakambari
Nagar, JP Nagar 1st phase,
Bengaluru City,",12.28784,76.63313
Puttenahalli,2019,Kidnap,19/11/2019,20:30,"Good Sheferd School, 7th Main,5th Block Jayanagar",12.2879,76.63267
Puttenahalli,2019,Kidnap,20/11/2019,16:00,"NO, 184, 6TH CROSS, 4TH MAIN, MARENAHALLI ,MTB AREA, 4TH T BLOCK, JAYANAGAR",12.28792,76.63243
C K Achuktu,2016,2 wheeler theft,4/7/2016,1:20:00 PM,"In Front Of Shalini Ground, 10 th Main,Jayanagara 5th Block",12.296531,77.142562
Girinagar,2018,2 wheeler theft,18/07/2018,,"nO-116, 3rd Block, 6th Main, Thygarajangar Thygarajangar Bengaluru City Karnaka",12.32157,77.63187
C K Achuktu,2016,2 wheeler theft,5/3/2016,2:10:00 PM,"Infront of the Book House, 33rd Cross, 11th Main,4th Block, Jayanagara",12.32331,76.61077
Subramanyapura,2019,Assault,20/04/2019,1:00,"NEAR SRI.
RAMAKRISHNA
HOSPITAL, 3RD BLOCK
JAYANAGAR, Bengaluru",12.32331,76.61077
Thalaghtappura,2015,Assault,2/5/2015,,"Near Dia Vispa Hospital, 80 Ft. Road, Nagendra Block, Bengaluru City, Karnaka,
560050",12.32425,77.43526
K G Nagar,2018,Ordinary Theft,18/04/2018,,"Upahar Kendra, KR road, Basvanagudi",12.34,77.485
Hanumantha Nagar,2019,2 wheeler theft,18/12/2019,12:00:00 PM,"In Front Of No-2834, 5th
Main,, BSK 2nd Stage,
Bengaluru City,",12.34975,76.6163
C K Achuktu,2015,2 wheeler theft,6/2/2015,6:00:00 PM,"Infront of Kanthi Sweets, 11th Main, 3rd Block,Jayanagara",12.35554,77.345587
Siddapura,2016,Assault,03/07/2016,8:00,"Opp Vani wines,
Marenahalli, 18th Main,
Jayanagara 4th T Block,
Bengaluru City,",12.35554,77.345587
C K Achuktu,2016,2 wheeler theft,4/5/2015,4:30:00 PM,"Near sri raj Lassi Bar, 8th F Main, 27th Cross,3rd Block, Jayanagara",12.361236,77.396512
Subramanyapura,2019,Assault,24/11/2019,9:15,"Adhitya Hotel, Diagnal
road 32nd Cross,, 4th Block
Jayanagar, Bengaluru City,",12.361236,77.396512
Jayanagar,2015,2 wheeler theft,4/1/2015,10:30:00 AM,"Inside the Compound, No.414/A, 4th Main, Girinagar 2nd Stage, Bengaluru City,
Karnaka, 560085",12.36285,77.32354
Siddapura,2016,Rape,2/1/2016,,"Near Bande muttappa Temple, Hunasanahalli, Kanakapura TQ, Ramanagara Dist",12.398776,77.590802
Jayanagar,2015,2 wheeler theft,17/12/15,10:30:00 AM,"No 414/c, 7th main, 50 feet road, Bangalore",12.43683,77.565527
Subramanyapura,2018,Assault,16/01/2018,11:30,"Jayanagar Shoping
Complex, 4th Block
Jayanagar, Bengaluru City,
Karnaka0.5km Towards
East",12.47337,77.47787
K S Layout,2019,Ordinary Theft,2/6/2019,,"Near karyasiddi anjaneya temple, girinagar bsk 3rd stage, Bengaluru City,
Karnaka, 560085",12.534358,77.543003
J P Nagar,2018,2 wheeler theft,9/29/2018,11:15:00 AM,"Parking lot, V.M Ware Software Pvt.Ltd,, Kalyani Vista, JP Nagar 4th phase,
Bengaluru City",12.535581,77.354721
K S Layout,2018,4 Wheeler Theft,10/19/2018,14:30,"Near House No07,Muniyppa bilding,Annayappa Layout,
,Jaraganahalli,Kanakapura Main Road, Bengaluru City",12.535581,77.354721
Konanakunte,2017,Ordinary Theft,8/18/2017,,"Parking Place, Kalyani Magnum, Doresani Palya, Bengaluru City",12.535581,77.354721
J P Nagar,2018,2 wheeler theft,11/21/2018,1:15:00 PM,"Infront of House No48/2,NearYalachenahalliBusstop, Kanakapura Main Road,Jp
nagar 6th phase, Bengaluru City",12.54167,77.34492
J P Nagar,2018,2 wheeler theft,11/21/2018,1:30:00 PM,"Infront Of House No.58, 6th main, 2nd cross, MS Layout,Jaraganahalli, JP nagar
6th Phase, Bengaluru City",12.54167,77.34492
Puttenahalli,2016,Kidnap,24/02/2016,13:30,"No 09, 13th Main, 7th Cross, Pipe Lane, Shakambarinagara, J P Nagara 1st Phase,",12.544211,77.342996
C K Achuktu,2015,2 wheeler theft,4/2/2015,6:30:00 PM,"Infront of IDBI bank, 33rd Cross, 10th Main,4th Block, Jayanagara",12.544272,77.342621
Siddapura,2016,Assault,09/06/2016,5:30,"Yadirur Curcle Bus Stop,
Jayanagara 7th Block,
Bengaluru City",12.544272,77.342621
C K Achuktu,2016,2 wheeler theft,29/01/2016,1:00:00 PM,"in front oF city central librory,south end circle jayanagara 3Rd block",12.545464,77.342616
Subramanyapura,2017,Assault,25/12/2017,10:20,"Sangam Circle, 8th
Block Jayanagar, Bengaluru",12.545464,77.342616
K S Layout,2016,Ordinary Theft,24/02/2016,19:00,"Opp Banasankari Temple, Jayanagara 8th Block",12.545787,77.342621
Jayanagar,2015,2 wheeler theft,6/2/2015,11:00:00 AM,"Infront of House No.118, 2nd main, 5th cross,, Hosakerehalli, BSk 3rd Stage,
Bengaluru City, Karnaka, 560085",12.545891,77.321013
K G Nagar,2017,2 wheeler theft,17/02/2017,4:30:00 PM,"NO, 274, 6th cross, Bhuvneshwarinagar, BSK 3rd stg, Bengluru-85",12.5489333,77.9229783
K G Nagar,2017,2 wheeler theft,5/3/2017,5:00:00 AM,"6th main Road, Bhuvneshwarinagar,BSK 3rd stg, Bengluru-85",12.5489333,77.9229783
K G Nagar,2017,2 wheeler theft,6/3/2017,8:45:00 PM,"Raimond Showroom, Ring Road, BSK 3rd stg, Bengluru-85",12.5489333,77.9229783
